Company Name,Country Founded,Year Founded,Revenue 2018,Revenue 2019,Revenue 2020,Net Income 2018,Net Income 2019,Net Income 2020,Industry,Number of Employees,Founder
Vale,Brazil,1942,31900000000.0,32500000000.0,33100000000.0,3200000000.0,4200000000.0,5200000000.0,Mining,80000,Government of Brazil
Banco Bradesco,Brazil,1943,24500000000.0,25100000000.0,25700000000.0,2500000000.0,3500000000.0,4500000000.0,Banking,70000,Amador Aguiar
Samsung,Korea,1938,224700000000.0,260900000000.0,265600000000.0,22700000000.0,25200000000.0,27700000000.0,Technology,589000,Lee Byung-chul
Hyundai,Korea,1947,105400000000.0,111800000000.0,112300000000.0,5200000000.0,4600000000.0,4400000000.0,Automotive,236000,Chung Ju-yung
LG,Korea,1958,54400000000.0,54700000000.0,54200000000.0,2500000000.0,2100000000.0,1800000000.0,Technology,72000,Koo In-hwoi
Kia,Korea,1944,49200000000.0,52500000000.0,54300000000.0,3500000000.0,3800000000.0,4100000000.0,Automotive,53000,Chung Eui-sun
SK Group,Korea,1953,87600000000.0,90800000000.0,95400000000.0,9800000000.0,9300000000.0,9200000000.0,Conglomerate,100000,Chey Jong-gun
Posco,Korea,1968,22300000000.0,23300000000.0,22900000000.0,2200000000.0,2300000000.0,1900000000.0,Steel,45000,Koo Ja-kyung
Hyundai Heavy Industries,Korea,1972,34900000000.0,35200000000.0,34800000000.0,2500000000.0,2600000000.0,2500000000.0,Shipbuilding,40000,Chung Mong-joon
Lotte Group,Korea,1948,87400000000.0,88400000000.0,86500000000.0,2900000000.0,3000000000.0,2700000000.0,Conglomerate,100000,Shin Kyuk-ho
CJ Group,Korea,1953,38200000000.0,39600000000.0,40300000000.0,1300000000.0,1500000000.0,1600000000.0,Conglomerate,50000,Lee Jay-hyun
Hanwha Group,Korea,1952,26600000000.0,27100000000.0,26900000000.0,1200000000.0,1200000000.0,1100000000.0,Conglomerate,50000,Kim Seung-youn
MTN Group,South Africa,1994,11600000000.0,11900000000.0,11800000000.0,1500000000.0,1600000000.0,1500000000.0,Telecommunications,30000,Cyril Ramaphosa
MTN Group,South Africa,1994,11600000000.0,11900000000.0,11800000000.0,1500000000.0,1600000000.0,1500000000.0,Telecommunications,10000,Cyril Ramaphosa
Naspers,South Africa,1915,11400000000.0,12500000000.0,12600000000.0,3500000000.0,3800000000.0,3900000000.0,"Media, Internet, and Technology",50000,Koos Bekker
FirstRand,South Africa,1998,8100000000.0,8600000000.0,8800000000.0,1700000000.0,1800000000.0,1900000000.0,Financial Services,50000,Paul Harris
Standard Bank Group,South Africa,1962,7700000000.0,8300000000.0,8400000000.0,1600000000.0,1700000000.0,1800000000.0,Financial Services,50000,Sim Tshabalala
Sasol,South Africa,1950,11100000000.0,11400000000.0,11300000000.0,1500000000.0,1600000000.0,1500000000.0,Energy,30000,David Constable
Dangote Group,Nigeria,1977,30800000000.0,31200000000.0,30800000000.0,3000000000.0,3100000000.0,3000000000.0,Conglomerate,50000,Aliko Dangote
MTN Group,Nigeria,1994,3300000000.0,3500000000.0,3600000000.0,500000000.0,600000000.0,700000000.0,Telecommunications,30000,Cyril Ramaphosa
MTN Group,Nigeria,1994,3300000000.0,3500000000.0,3600000000.0,500000000.0,600000000.0,700000000.0,Telecommunications,10000,Cyril Ramaphosa
Cemex,Mexico,1906,14600000000.0,14800000000.0,14500000000.0,1100000000.0,1200000000.0,1100000000.0,Construction Materials,50000,Lorenzo H. Zaldivar
Femsa,Mexico,1890,15700000000.0,16200000000.0,15900000000.0,1300000000.0,1400000000.0,1300000000.0,Beverage,50000,José Antonio Fernández Carbajal
Grupo Bimbo,Mexico,1945,13400000000.0,13800000000.0,13600000000.0,900000000.0,1000000000.0,1000000000.0,Bakery,100000,Daniel Servitje Montull
Rimi Baltic,Latvia,1991,3500000000.0,3600000000.0,3500000000.0,400000000.0,400000000.0,400000000.0,Retail,20000,Janis Birks
Dienas Bizness,Latvia,1992,300000000.0,300000000.0,300000000.0,80000000.0,78000000.0,76000000.0,Media,50,Maris Jēkabsons
CME,Czech Republic,1991,1300000000.0,1400000000.0,1300000000.0,200000000.0,200000000.0,200000000.0,Media,500,Ronald S. Lauder
Skoda,Czech Republic,1895,10700000000.0,11100000000.0,10900000000.0,900000000.0,1000000000.0,900000000.0,Automotive,25000,"Václav Laurin, Václav Klement"
Cencosud,Chile,1957,14900000000.0,15400000000.0,15200000000.0,1400000000.0,1500000000.0,1500000000.0,Retail,50000,Horst Paulmann
CEZ Group,Czech Republic,1992,11500000000.0,11800000000.0,11700000000.0,1300000000.0,1400000000.0,1400000000.0,Energy,10000,Martin Roman
LAN Airlines,Chile,1929,3700000000.0,3800000000.0,3700000000.0,400000000.0,400000000.0,400000000.0,Air Transportation,5000,Agustín Gómez-Lobo
Fonterra,New Zealand,2001,19200000000.0,19400000000.0,19200000000.0,1100000000.0,1200000000.0,1200000000.0,Dairy,10000,James Henry Tavendale
Air New Zealand,New Zealand,1940,4400000000.0,4600000000.0,4500000000.0,200000000.0,300000000.0,300000000.0,Air Transportation,5000,Rodger Douglas
TelstraClear,New Zealand,1990,1100000000.0,1100000000.0,1100000000.0,100000000.0,100000000.0,100000000.0,Telecommunications,1000,Rosemary Howard
Vector,New Zealand,1995,2200000000.0,2300000000.0,2300000000.0,200000000.0,200000000.0,200000000.0,Energy,500,Michael Stiassny
Carrefour,France,1959,104800000000.0,106400000000.0,105800000000.0,2200000000.0,2400000000.0,2400000000.0,Retail,365000,"Marcel Fournier, Denis Defforey"
Danone,France,1899,27400000000.0,27800000000.0,27700000000.0,2400000000.0,2400000000.0,2400000000.0,Food and Beverages,100000,Isaac Carasso
Pernod Ricard,France,1975,9600000000.0,9900000000.0,9900000000.0,1300000000.0,1400000000.0,1400000000.0,Alcoholic Beverages,18000,Paul Ricard
Statoil,Norway,1972,30400000000.0,34700000000.0,32400000000.0,5500000000.0,9200000000.0,5600000000.0,Oil and Gas,28000,Arne Wilhelmsen
Telenor,Norway,1855,11700000000.0,11600000000.0,11200000000.0,2900000000.0,3300000000.0,2600000000.0,Telecommunications,31000,Henrik Anker Hansen
DNV GL,Norway,1864,2400000000.0,2600000000.0,2700000000.0,390000000.0,450000000.0,460000000.0,Consulting and Certification,13000,Samuel Georg Morris
Kongsberg,Norway,1814,2300000000.0,2500000000.0,2500000000.0,205000000.0,230000000.0,240000000.0,Defense and Aerospace,8000,Hans Kongsberg
Yara,Norway,1905,11500000000.0,11900000000.0,10600000000.0,1400000000.0,1700000000.0,1200000000.0,Fertilizers and Industrial Chemicals,17000,Kristian Birkeland
Elisa,Finland,1882,2460000000.0,2540000000.0,2550000000.0,344000000.0,356000000.0,365000000.0,Telecommunications,3800,Daniel Wadén
Nokia,Finland,1865,23270000000.0,23220000000.0,22450000000.0,2910000000.0,2730000000.0,1790000000.0,Telecommunications,103000,Fredrik Idestam
Fortum,Finland,1998,9930000000.0,10440000000.0,10740000000.0,1420000000.0,1580000000.0,1350000000.0,Energy,8300,Government of Finland
Stora Enso,Finland,1998,10380000000.0,10750000000.0,10540000000.0,1260000000.0,1330000000.0,1070000000.0,"Paper, Packaging",26000,Hans Gutzeit
Reykjavik Energy,Iceland,1913,957000000.0,977000000.0,1020000000.0,73000000.0,72000000.0,89000000.0,Energy,1100,"David Anderson, Margret Bjarnadottir"
Bombardier Inc.,Canada,1942,15910000000.0,16420000000.0,16030000000.0,-1580000000.0,-1390000000.0,-1560000000.0,Transportation,73000,Joseph-Armand Bombardier
